fecha,nivel_chingaza_pct,consumo_suba_lpcd,month,year,month_sin,month_cos,nivel_lag_1,consumo_lag_1,nivel_lag_3,consumo_lag_3,nivel_roll_3,consumo_roll_3
2024-01-31,57.0,152.4,1,2024,0.5,0.866025404,62.7,156.9,72.2,165.2,64.2333333,160.1333333
2024-02-29,51.4,148.1,2,2024,0.866025404,0.5,57.0,152.4,68.0,161.3,57.0333333,157.0
2024-03-31,46.1,143.4,3,2024,1.0,0.0,51.4,148.1,62.7,156.9,51.5,152.4666667
2024-04-30,41.7,139.2,4,2024,0.866025404,-0.5,46.1,143.4,57.0,152.4,46.4,148.0
2024-05-31,47.2,144.1,5,2024,0.5,-0.866025404,41.7,139.2,51.4,148.1,45.1,145.2333333
2024-06-30,53.5,148.9,6,2024,0.0,-1.0,47.2,144.1,46.1,143.4,47.3333333,142.2333333
2024-07-31,59.4,153.7,7,2024,-0.5,-0.866025404,53.5,148.9,41.7,139.2,53.1666667,142.2333333
2024-08-31,65.0,158.5,8,2024,-0.866025404,-0.5,59.4,153.7,47.2,144.1,59.3666667,148.8333333
2024-09-30,69.4,162.2,9,2024,-1.0,0.0,65.0,158.5,53.5,148.9,64.6333333,153.8666667
2024-10-31,72.1,165.1,10,2024,-0.866025404,0.5,69.4,162.2,59.4,153.7,69.1666667,157.1333333
2024-11-30,67.9,161.2,11,2024,-0.5,0.866025404,72.1,165.1,65.0,158.5,69.8,161.9333333
2024-12-31,62.6,156.8,12,2024,0.0,1.0,67.9,161.2,69.4,162.2,67.5333333,161.3333333
2025-01-31,56.9,152.3,1,2025,0.5,0.866025404,62.6,156.8,72.1,165.1,62.4666667,161.0
2025-02-28,51.3,148.0,2,2025,0.866025404,0.5,56.9,152.3,67.9,161.2,57.0666667,157.3666667
2025-03-31,46.0,143.3,3,2025,1.0,0.0,51.3,148.0,62.6,156.8,51.7333333,152.7
2025-04-30,41.6,139.1,4,2025,0.866025404,-0.5,46.0,143.3,56.9,152.3,46.3,148.1333333
2025-05-31,47.1,144.0,5,2025,0.5,-0.866025404,41.6,139.1,51.3,148.0,44.9,143.8
2025-06-30,53.4,148.8,6,2025,0.0,-1.0,47.1,144.0,46.0,143.3,47.3666667,142.1333333
2025-07-31,59.3,153.6,7,2025,-0.5,-0.866025404,53.4,148.8,41.6,139.1,53.0333333,142.1333333
2025-08-31,64.9,158.4,8,2025,-0.866025404,-0.5,59.3,153.6,47.1,144.0,59.0666667,148.8
2025-09-30,69.3,162.1,9,2025,-1.0,0.0,64.9,158.4,53.4,148.8,64.5333333,153.6
2025-10-31,72.0,165.0,10,2025,-0.866025404,0.5,69.3,162.1,59.3,153.6,69.0666667,157.1666667
